ArtistID,ArtistName
AR001,2 Chainz
AR002,21 Savage
AR003,7apes
AR004,A Boogie Wit da Hoodie
AR005,Abel Ganz
AR006,Agusa
AR007,AJ Mitchell
AR008,Alex Isley
AR009,Alexis y Fido
AR010,Alina Baraz
AR011,Amarok
AR012,Andy Aguilera
AR013,Anthony Phillips
AR014,Arena
AR015,Armin van Buuren
AR016,Ava Max
AR017,AVEC
AR018,Avicii
AR019,Baby Keem
AR020,Bad Dreams
AR021,Barclay James Harvest
AR022,Bastille
AR023,Bazzi vs.
AR024,Beyoncé
AR025,Big Big Train
AR026,Billie Eilish
AR027,Bjørn Riis
AR028,Black Bonzo
AR029,Blackfield
AR030,Blind Ego
AR031,Bruno Major
AR032,Cabas
AR033,Calle 13
AR034,Calle Ciega
AR035,Calvin Harris
AR036,Camel
AR037,Caravan
AR038,Carlos Baute
AR039,Carlos Vives
AR040,Carptree
AR041,Charli XCX
AR042,Charlie Puth
AR043,Chayanne
AR044,Chino & Nacho
AR045,Chroma Key
AR046,Comedy of Errors
AR047,Cryptic Vision
AR048,Curved Air
AR049,DaBaby
AR050,Daddy Yankee
AR051,Daniel Caesar
AR052,Danny Ocean
AR053,DAO
AR054,Dave Kerzner
AR055,David Guetta
AR056,DeeExpus
AR057,Deitrick Haddon
AR058,Diego Torres
AR059,DJ Snake
AR060,Don Omar
AR061,Don Toliver
AR062,Ed Sheeran
AR063,Ella Mai
AR064,Ellie Goulding
AR065,"Emerson, Lake & Palmer"
AR066,Eminem
AR067,Enrique Iglesias
AR068,Erica Campbell
AR069,Erika Ender
AR070,Eryn Allen Kane
AR071,Estelle
AR072,Farruko
AR073,Fates Warning
AR074,Finesse
AR075,Fivio Foreign
AR076,Flipp Dinero
AR077,FloFilz
AR078,Flying Colors
AR079,Focus
AR080,Fonseca
AR081,for KING & COUNTRY
AR082,Fred Hammond
AR083,Funky Notes
AR084,Future
AR085,Gente De Zona
AR086,Gentle Giant
AR087,George Ogilvie
AR088,Gian Marco
AR089,Grace Carter
AR090,Hawkwind
AR091,HONNE
AR092,IAmChino
AR093,ILLENIUM
AR094,Inside The Sound
AR095,Internet Money
AR096,Ioearth
AR097,IQ
AR098,J Balvin
AR099,j'san
AR100,Jacob Forever
AR101,James Arthur
AR102,James Fortune
AR103,Jay y el Punto
AR104,Jessica Reedy
AR105,Jethro Tull
AR106,Jimmy Bad Boy
AR107,Jorja Smith
AR108,Juan Magán
AR109,Juice WRLD
AR110,Kanye West
AR111,Kash Doll
AR112,Katy Perry
AR113,Khalid
AR114,Kirk Franklin
AR115,Knowsum
AR116,Kygo
AR117,LESKY
AR118,Lewis Capaldi
AR119,Liam Davison
AR120,Lil Baby
AR121,Lil Mosey
AR122,Lil Nas X
AR123,Lil Tjay
AR124,Lil Uzi Vert
AR125,Loud Luxury
AR126,Louis Baker
AR127,Mac Miller
AR128,Maggie Rogers
AR129,Maluma
AR130,Manuel Turizo
AR131,Marc Anthony
AR132,Marco McKinnis
AR133,Marillion
AR134,Maroon 5
AR135,Marshmello
AR136,Martin Garrix
AR137,Mary Mary
AR138,MAX
AR139,Millenium
AR140,Moneybagg Yo
AR141,Mumford & Sons
AR142,Nacho
AR143,Natti Natasha
AR144,Ne-Yo
AR145,Nicky Jam
AR146,Nikki Vianna
AR147,NLE Choppa
AR148,Noah Kahan
AR149,Olympis
AR150,Ozuna
AR151,Pallas
AR152,Pardison Fontaine
AR153,Phoria
AR154,Plan B
AR155,Polo G
AR156,Pop Smoke
AR157,Porcupine Tree
AR158,Prince Royce
AR159,Quinn Lewis
AR160,R3HAB
AR161,Rich The Kid
AR162,Rick Wakeman
AR163,Ricky Martin
AR164,Rocket Scientists
AR165,Rod Wave
AR166,Roddy Ricch
AR167,Romeo Santos
AR168,RPWL
AR169,Ruel
AR170,Russ
AR171,Sabrina Claudio
AR172,Sam Feldt
AR173,Sam Smith
AR174,Sasha Sloan
AR175,Sean Paul
AR176,Sebastian Yatra
AR177,SHAED
AR178,Shakira
AR179,Shawn Mendes
AR180,Sia
AR181,Sinead Harnett
AR182,SKAAR
AR183,Smash Mouth
AR184,Smokepurpp
AR185,Solstice Coil
AR186,Son Lux
AR187,Squackett
AR188,Starley
AR189,Steve Aoki
AR190,Steve Hackett
AR191,Steve Rothery
AR192,Stunna 4 Vegas
AR193,Summers Sons
AR194,Sylvan
AR195,Tee Grizzley
AR196,Testiculo y Uno
AR197,The Alan Parsons Project
AR198,The Chainsmokers
AR199,The Pineapple Thief
AR200,The Watch
AR201,Threshold
AR202,Trippie Redd
AR203,Ty Dolla $ign
AR204,Tyla Yaweh
AR205,U.K.
AR206,Van Der Graaf Generator
AR207,Why Don't We
AR208,William Singe
AR209,Wishbone Ash
AR210,Wisin
AR211,Wisin & Yandel
AR212,Wun Two
AR213,YNW Melly
AR214,Yogi Lang
AR215,Young Thug
AR216,YoungBoy Never Broke Again
AR217,Zara Larsson
AR218,Zion & Lennox
