TrackID,TrackTitle,ArtistID,AlbumID,Duration,TrackLanguage,Rating
TR001,I Don't Care (with Justin Bieber) - Loud Luxury Remix,AR062,AL110,194754,English,0
TR002,Memories - Dillon Francis Remix,AR134,AL153,162600,English,0
TR003,All the Time - Don Diablo Remix,AR217,AL015,176616,English,0
TR004,Call You Mine - Keanu Silva Remix,AR198,AL037,169093,English,0
TR005,Someone You Loved - Future Humans Remix,AR118,AL218,189052,English,0
TR006,Beautiful People (feat. Khalid) - Jack Wins Remix,AR062,AL028,163049,English,0
TR007,Never Really Over - R3HAB Remix,AR112,AL164,187675,English,0
TR008,Post Malone (feat. RANI) - GATTÜSO Remix,AR172,AL184,207619,English,0
TR009,Tough Love - Tiësto Remix / Radio Edit,AR018,AL244,193187,English,0
TR010,If I Can't Have You - Gryffin Remix,AR179,AL114,253040,English,0
TR011,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,AR062,AL049,207894,English,0
TR012,Hate Me - R3HAB Remix,AR064,AL093,203733,English,0
TR013,Body On My,AR125,AL033,192507,English,0
TR014,SOS - Laidback Luke Tribute Remix / Radio Edit,AR018,AL219,164516,English,0
TR015,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,AR136,AL227,255238,English,0
TR016,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,AR062,AL221,188230,English,0
TR017,All My Friends - Eden Prince Remix,AR007,AL013,173548,English,0
TR018,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,AR055,AL200,189375,English,0
TR019,Dancing With A Stranger (With Normani) - Cheat Codes Remix,AR173,AL051,159404,English,0
TR020,Let It Be Me - Sondr Remix,AR189,AL135,185366,English,0
TR021,Heaven - David Guetta & MORTEN Remix,AR018,AL096,215238,English,0
TR022,All Around The World (La La La) - Marnik Remix,AR160,AL012,170667,English,0
TR023,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,AR055,AL060,210968,English,0
TR024,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AR007,AL214,193548,English,0
TR025,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,AR198,AL058,205093,English,0
TR026,Hold Me While You Wait - Steve Void Remix,AR118,AL103,172800,English,0
TR027,One Thing Right - Firebeatz Remix,AR135,AL176,192381,English,0
TR028,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,AR064,AL044,175000,English,0
TR029,So Am I - Toby Green Remix,AR016,AL215,166875,English,0
TR030,When You Leave - Breathe Carolina Remix,AR146,AL265,155080,English,0
TR031,Mother - Fedde Le Grand Remix,AR042,AL159,178125,English,0
TR032,Signs - Eden Prince Remix,AR188,AL212,172000,English,0
TR033,Ruin My Life - Steve James Remix,AR217,AL197,177097,English,0
TR034,Torn - KREAM Remix,AR016,AL243,169935,English,0
TR035,Quite Miss Home - Steve Void Remix,AR101,AL191,220413,English,0
TR036,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,AR138,AL142,185273,English,0
TR037,Happier - Matt Medved Remix,AR135,AL091,170164,English,0
TR038,Side Effects - Fedde Le Grand Remix,AR198,AL210,172360,English,0
TR039,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],AR093,AL089,247385,English,0
TR040,Paradise - Bazzi vs. Black Caviar Remix,AR023,AL180,218015,English,0
TR041,White Mercedes - EDX's Miami Sunset Remix,AR041,AL266,200444,English,0
TR042,Higher Love,AR116,AL102,228267,English,0
TR043,Unlove You,AR015,AL253,150160,English,0
TR044,bad guy (with Justin Bieber),AR026,AL023,194840,English,0
TR045,Freaking Me Out - Keanu Silva Remix,AR016,AL079,177466,English,0
TR046,Heaven Can Wait - The Aston Shuffle Remix,AR180,AL097,218373,English,0
TR047,When It Comes To You - Benny Benassi & BB Team Remix,AR175,AL263,144073,English,0
TR048,Gone - The Wild Remix,AR041,AL088,193861,English,0
TR049,American Boy - Brooks Remix,AR071,AL016,200625,English,0
TR050,Million Pieces - M-22 Remix,AR022,AL155,166237,English,0
TR051,joy. (R3HAB Remix),AR081,AL123,171500,English,0
TR052,Crash Into Me - Settle Down Steavis Aoki Remix,AR189,AL047,266719,English,0
TR053,Old Town Road - Diplo Remix,AR122,AL174,204027,English,0
TR054,Lovers + Strangers - GATTÜSO Remix,AR188,AL143,203968,English,0
TR055,Promises (with Sam Smith) - David Guetta Remix,AR035,AL188,190417,English,0
TR056,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,AR160,AL077,237686,English,0
TR057,What Am I - SONDR Remix,AR207,AL261,180361,English,0
TR058,Cool Kids,AR149,AL045,139048,English,0
TR059,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,AR059,AL139,279800,English,0
TR060,All Star - Breathe Carolina Remix,AR183,AL014,217043,English,0
TR061,Life Is Good (feat. Drake),AR084,AL137,237735,English,0
TR062,The Box,AR166,AL183,196653,English,0
TR063,I Can See,AR127,AL043,220853,English,0
TR064,Futsal Shuffle 2020,AR124,AL084,198913,English,0
TR065,Godzilla (feat. Juice WRLD),AR066,AL162,210800,English,0
TR066,Sum 2 Prove,AR120,AL226,205760,English,0
TR067,Money Talk,AR161,AL158,174640,English,0
TR068,BOP,AR049,AL127,159715,English,0
TR069,First Place,AR155,AL075,199992,English,0
TR070,No Regrets (feat. Don Toliver),AR066,AL162,200947,English,0
TR071,Suicidal,AR213,AL151,222997,English,0
TR072,TOES (feat. Lil Baby & Moneybagg Yo),AR049,AL127,136366,English,0
TR073,Dead Man Walking (feat. Future),AR001,AL054,135507,English,0
TR074,Woah,AR120,AL268,183011,English,0
TR075,Bandit (with YoungBoy Never Broke Again),AR109,AL025,189323,English,0
TR076,How I Move (feat. Lil Baby),AR076,AL106,224916,English,0
TR077,Peta (feat. Meek Mill),AR166,AL183,198849,English,0
TR078,Death (feat. DaBaby),AR202,AL055,172196,English,0
TR079,Hot (Remix) [feat. Gunna and Travis Scott],AR215,AL104,279907,English,0
TR080,ORANGE SODA,AR019,AL056,129882,English,0
TR081,High Fashion (feat. Mustard),AR166,AL183,220487,English,0
TR082,VIBEZ,AR049,AL127,144935,English,0
TR083,Hop Off A Jet (feat. Travis Scott),AR215,AL216,174067,English,0
TR084,UP THE SMOKE (with Offset),AR192,AL254,188048,English,0
TR085,Red Light,AR195,AL192,127347,English,0
TR086,No Idea,AR061,AL168,153750,English,0
TR087,Somebody,AR095,AL217,174333,English,0
TR088,Famous Hoes,AR147,AL072,135460,English,0
TR089,What I Please (feat. Denzel Curry),AR184,AL262,140591,English,0
TR090,U Played (feat. Lil Baby),AR140,AL246,164754,English,0
TR091,Make No Sense,AR216,AL011,148630,English,0
TR092,"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix",AR147,AL039,198694,English,0
TR093,6 Kiss,AR202,AL003,199437,English,0
TR094,Immortal,AR002,AL116,254723,English,0
TR095,Bang Bang,AR213,AL151,260333,English,0
TR096,Heart On Ice - Remix,AR165,AL086,195190,English,0
TR097,Reply (feat. Lil Uzi Vert),AR004,AL194,183589,English,0
TR098,That's Tuff (feat. Quavo),AR161,AL231,154000,English,0
TR099,G Walk (with Chris Brown),AR121,AL085,141333,English,0
TR100,Ready Set (feat. Big Sean),AR111,AL223,165375,English,0
TR101,Go In,AR123,AL087,254963,English,0
TR102,BEST ON EARTH (feat. BIA),AR170,AL029,160720,English,0
TR103,Take It Down (feat. Offset),AR152,AL251,208976,English,0
TR104,Big Drip,AR075,AL179,168307,English,0
TR105,Dior,AR156,AL149,216387,English,0
TR106,I Think I Luv Her,AR204,AL111,160742,English,0
TR107,Follow God,AR110,AL122,104591,English,0
TR108,Her,AR053,AL100,123333,English,0
TR109,Sunset Blvd,AR003,AL230,196364,English,0
TR110,Karru,AR077,AL124,149016,English,0
TR111,A Moment to Bill It - Beat Edit,AR193,AL004,89933,English,0
TR112,Visit By Cap Kendricks,AR083,AL204,195333,English,0
TR113,Wasabi Terraces,AR196,AL259,188053,English,0
TR114,Verbania,AR212,AL255,124932,English,0
TR115,sunny,AR099,AL229,139130,English,0
TR116,Haven,AR074,AL167,137180,English,0
TR117,Triple Double,AR117,AL245,163963,English,0
TR118,ballin,AR115,AL203,127229,English,0
TR119,Aqualung,AR105,AL020,396187,English,0
TR120,Hocus Pocus - Extended Version,AR079,AL161,402560,English,0
TR121,Catherine Of Aragon,AR162,AL238,229147,English,0
TR122,The Advent Of Panurge,AR086,AL171,284933,English,0
TR123,In The Land Of Grey & Pink,AR037,AL120,298840,English,0
TR124,"Karn Evil 9 1st Impression, Pt. 2 - 2014 Remastered Version",AR065,AL035,285760,English,0
TR125,Freefall,AR036,AL156,352853,English,0
TR126,Kayleigh - 2017 Remaster,AR133,AL157,243560,English,0
TR127,Locomotive Breath,AR105,AL020,266013,English,0
TR128,In The Dead Of Night,AR205,AL247,334040,English,0
TR129,Can't Take It with You,AR197,AL190,305987,English,0
TR130,Killer,AR206,AL074,497640,English,0
TR131,Backstreet Luv,AR048,AL232,218167,English,0
TR132,The Court of the Crimson King,AR190,AL240,459600,English,0
TR133,Mocking Bird,AR021,AL175,399307,English,0
TR134,Master of the Universe - 1996 Remaster,AR090,AL119,377520,English,0
TR135,Frequency,AR097,AL081,509240,English,0
TR136,Trains,AR157,AL117,358600,English,0
TR137,Blackest Deeds,AR200,AL207,349916,English,0
TR138,I Talk to the Wind,AR190,AL240,326160,English,0
TR139,The First Rebreather,AR025,AL069,512280,English,0
TR140,Idyll,AR011,AL107,340593,English,0
TR141,Unchain the Earth,AR168,AL030,426013,English,0
TR142,Hypocrites,AR054,AL224,508725,English,0
TR143,Storyteller,AR096,AL121,300760,English,0
TR144,"The Fountain of Glow, Pt. 3",AR194,AL201,347760,English,0
TR145,The Fleeting Deep,AR040,AL066,466120,English,0
TR146,Tachyon,AR046,AL105,375747,English,0
